"DateTime","DHI","DNI","Temperature","Pressure","Relative.Humidity","Wind.Speed","GHI"
"17-04-2011 15:00",180,613,30,1000,62.26,3.1,580
"16-07-2011 07:00",128,6,27,1000,77.87,3.8,131
"09-08-2012 07:00",155,103,28,1000,66.84,3.5,193
"05-12-2013 08:00",201,319,27,1010,76.63,3.6,349
"10-05-2011 11:00",258,694,37,1000,44.68,2.1,942
"30-09-2013 16:00",107,475,31,1000,70.73,2.1,276
"04-07-2011 00:00",0,0,28,1000,75.21,3.3,0
"28-06-2013 10:00",202,701,36,1000,38.83,2.7,831
"12-06-2012 04:00",0,0,29,1000,65.34,3.7,0
"12-06-2011 03:00",0,0,27,1000,76.92,3.3,0
"21-11-2013 18:00",0,0,26,1000,82.35,2.9,0
"03-01-2013 09:00",288,234,29,1010,62.47,2,427
"18-12-2013 07:00",90,26,24,1010,75.09,2.3,97
"03-12-2012 23:00",0,0,26,1010,92.33,3.9,0
"14-07-2012 03:00",0,0,28,1000,82.25,2.2,0
"08-09-2011 10:00",208,708,31,1000,64.69,2.8,851
"20-09-2013 10:00",205,734,30,1000,71.66,3.8,866
"22-11-2011 12:00",253,658,29,1010,61.1,3.1,798
"03-10-2012 20:00",0,0,28,1000,74.61,3.5,0
"11-08-2013 04:00",0,0,26,1000,86.68,2.6,0
"09-01-2014 01:00",0,0,23,1010,83.94,2.3,0
"09-03-2013 13:00",216,770,35,1010,33.74,2.1,916
"03-01-2013 05:00",0,0,24,1010,91.62,1.5,0
"07-10-2012 11:00",290,549,30,1000,80.68,0.5,807
"28-04-2013 01:00",0,0,28,1000,82.36,3.3,0
"02-06-2013 17:00",47,0,30,1000,74.94,2.1,47
"26-06-2012 03:00",0,0,28,1000,75.03,3.1,0
"14-06-2012 01:00",0,0,29,1000,73.29,3.4,0
"17-02-2012 22:00",0,0,25,1010,78.99,2.4,0
"19-10-2011 20:00",0,0,28,1000,76.2,2.2,0
"21-03-2011 08:00",169,555,31,1010,59.54,1.8,467
"11-09-2011 18:00",0,0,30,1000,72.74,1.4,0
"11-07-2013 07:00",131,5,27,1000,66.68,3.9,133
"26-03-2014 02:00",0,0,26,1000,84.64,1.7,0
"17-06-2011 04:00",0,0,27,1000,70.31,3.8,0
"08-08-2012 03:00",0,0,28,1000,70.99,3.4,0
"16-06-2014 22:00",0,0,31,1000,66.96,3.2,0
"12-07-2011 15:00",301,99,34,990,46.95,2.5,369
"28-05-2012 02:00",0,0,28,1000,76.76,4,0
"23-03-2012 17:00",86,80,31,1000,41.65,3.8,102
"05-10-2012 09:00",191,681,32,1010,63.56,1,708
"23-07-2011 21:00",0,0,30,1000,64.86,3.5,0
"13-02-2011 00:00",0,0,25,1000,81.8,0.9,0
"22-06-2012 20:00",0,0,32,1000,60.49,2.2,0
"28-11-2013 00:00",0,0,25,1010,83.42,2.4,0
